lat,lon,Straßenname,Anzahl Fußgänger pro Tag,Anzahl Fahrradfahrer pro Tag,Durchschnittliche tägl. Verkehrsstärke unmotorisiert (DTV),Anzahl PKW pro Tag,"Anzahl schwere  LKW (> 3,5t) pro Tag","Anzahl leichte LKW (< 3,5t) pro Tag",Anzahl Motorräder pro Tag,Anzahl Busse pro Tag,Durchschnittliche tägl. Verkehrsstärke motorisiert (DTVm),Entsprechend Legende in der Karte (für uns zur Orientierung),NACHTS,pedestrian_night,bike_night,mean_unmotorized_night,car_night,truck_night,van_night,motorbike_night,bus_night,mean_motorized_night
52.54655,13.41824,Pappelallee,14928.0,1902.0,16830.0,7363.0,628.0,654.0,124.0,71.0,8840.0,5>10,,746.4,19.02,765.42,368.15,6.28,9.81,2.48,4.0,390.71999999999997
52.54791,13.4197,Pappelallee,5862.0,867.0,6729.0,3388.0,289.0,301.0,57.0,37.0,4072.0,<5,,293.1,8.67,301.77000000000004,169.4,2.89,4.515,1.14,4.0,181.94499999999996
52.54798,13.41987,Pappelallee,5862.0,867.0,6729.0,3388.0,289.0,301.0,57.0,37.0,4072.0,<5,,293.1,8.67,301.77000000000004,169.4,2.89,4.515,1.14,4.0,181.94499999999996
52.54806,13.41991,Stahlheimer Str.,14128.0,1798.0,15926.0,6667.0,552.0,592.0,112.0,72.0,7995.0,5>10,,706.4,17.98,724.38,333.35,5.52,8.88,2.24,4.0,353.99
52.54845,13.4203,Stahlheimer Str.,14128.0,1798.0,15926.0,6667.0,552.0,592.0,112.0,72.0,7995.0,5>10,,706.4,17.98,724.38,333.35,5.52,8.88,2.24,4.0,353.99
52.54874,13.42056,Stahlheimer Str.,6312.0,844.0,7156.0,3252.0,156.0,289.0,38.0,65.0,3800.0,<5,,315.6,8.44,324.04,162.6,1.56,4.335,0.76,4.0,173.255
52.5501,13.4221,Stahlheimer Str.,6312.0,844.0,7156.0,3252.0,156.0,289.0,38.0,65.0,3800.0,<5,,315.6,8.44,324.04,162.6,1.56,4.335,0.76,4.0,173.255
52.55117,13.42322,Stahlheimer Str.,6312.0,844.0,7156.0,3252.0,156.0,289.0,38.0,65.0,3800.0,<5,,315.6,8.44,324.04,162.6,1.56,4.335,0.76,4.0,173.255
52.5525,13.42463,Stahlheimer Str.,6312.0,844.0,7156.0,3252.0,156.0,289.0,38.0,65.0,3800.0,<5,,315.6,8.44,324.04,162.6,1.56,4.335,0.76,4.0,173.255
52.54104,13.41215,Danziger Str.,25632.0,2890.0,28522.0,13430.0,460.0,1212.0,215.0,31.0,15348.0,15>20,,1281.6,28.9,1310.5,671.5,4.6,18.18,4.3,4.0,702.5799999999999
52.54091,13.41318,Danziger Str.,25632.0,2890.0,28522.0,13430.0,460.0,1212.0,215.0,31.0,15348.0,15>20,,1281.6,28.9,1310.5,671.5,4.6,18.18,4.3,4.0,702.5799999999999
52.54089,13.41322,Danziger Str.,25566.0,2762.0,28328.0,12783.0,438.0,1154.0,204.0,29.0,14608.0,10>15,,1278.3,27.62,1305.9199999999998,639.15,4.38,17.31,4.08,4.0,668.92
52.54083,13.41356,Danziger Str.,25566.0,2762.0,28328.0,12783.0,438.0,1154.0,204.0,29.0,14608.0,10>15,,1278.3,27.62,1305.9199999999998,639.15,4.38,17.31,4.08,4.0,668.92
52.54078,13.41386,Danziger Str.,27164.0,2813.0,29977.0,13238.0,423.0,1192.0,211.0,30.0,15094.0,15>20,,1358.2,28.13,1386.3300000000002,661.9,4.23,17.88,4.22,4.0,692.23
52.54076,13.41459,Danziger Str.,27164.0,2813.0,29977.0,13238.0,423.0,1192.0,211.0,30.0,15094.0,15>20,,1358.2,28.13,1386.3300000000002,661.9,4.23,17.88,4.22,4.0,692.23
52.54062,13.41506,Danziger Str.,24963.0,2762.0,27725.0,12783.0,438.0,1154.0,204.0,29.0,14608.0,10>15,,1248.15,27.62,1275.77,639.15,4.38,17.31,4.08,4.0,668.92
52.54042,13.41631,Danziger Str.,24963.0,2762.0,27725.0,12783.0,438.0,1154.0,204.0,29.0,14608.0,10>15,,1248.15,27.62,1275.77,639.15,4.38,17.31,4.08,4.0,668.92
52.54002,13.41884,Danziger Str.,27195.0,2813.0,30008.0,13238.0,423.0,1192.0,211.0,30.0,15094.0,15>20,,1359.75,28.13,1387.88,661.9,4.23,17.88,4.22,4.0,692.23
52.53953,13.4218,Danziger Str.,27195.0,2813.0,30008.0,13238.0,423.0,1192.0,211.0,30.0,15094.0,15>20,,1359.75,28.13,1387.88,661.9,4.23,17.88,4.22,4.0,692.23
52.53953,13.42206,Danziger Str.,24187.0,2762.0,26949.0,12783.0,438.0,1154.0,204.0,29.0,14608.0,10>15,,1209.35,27.62,1236.9699999999998,639.15,4.38,17.31,4.08,4.0,668.92
52.53927,13.42382,Danziger Str.,24187.0,2762.0,26949.0,12783.0,438.0,1154.0,204.0,29.0,14608.0,10>15,,1209.35,27.62,1236.9699999999998,639.15,4.38,17.31,4.08,4.0,668.92
52.53919,13.42421,Danziger Str.,38621.0,3559.0,42180.0,19596.0,672.0,1769.0,314.0,45.0,22396.0,20>30,,1931.05,35.59,1966.6399999999999,979.8,6.72,26.535,6.28,4.0,1023.3349999999999
