LS-Nr.;Hausnr.;S-Bahnring;lat;lon;number;amount;lamp;name_lamp;picture;installed;bulb;brand;name_bulb;comparison;color;watt;energy_consumption;lifespan;lumen_per_watt;lumen;energy_efficiency;switching;structural_system;height
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110015-00;103;;52,55300174;13,4140775;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110016-00;89;;52,55292458;13,41463739;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;28.07.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110017-00;104;;52,55273338;13,41404936;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110018-00;88;;52,55266769;13,41458567;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;22.06.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
;;;;;2;1;SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2;Esslingen-Kandelaber;Nein;22.06.93;NAV-E70 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;70 W;70 kWh/1000;28.000 h;93 lm/W;6600 lm;n. a. ;01 GANZNACHT;;
42616-2110019-00;105;;52,55246612;13,41397211;1;1;SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2;Esslingen-Kandelaber;Nein;30.10.93;NAV-E250*SUPER 4Y;Osram;Natrium-Dampflampen;>> Einsparung gegenÌ_ber einer GlÌ_hbirne 95%;niedrige Farbtemperatur, gelblich rote FÌ_rbung;250 W;281 kWh/1000h;48000 h;n. a. ;31600 lm;n. a. ;01 GANZNACHT;SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG;8,15
