LS-Nr.,Hausnr.,S-Bahnring,lat,lon,number,amount,lamp,name_lamp,picture,installed,bulb,brand,name_bulb,comparison,color,watt,energy_consumption,lifespan,lumen_per_watt,lumen,energy_efficiency,switching,structural_system,height,Column 26
42616-2110025-00,108,,52.5517045267,13.4138334354,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110026-00,85,,52.5516872474,13.4143886998,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110027-00,109,,52.5514582164,13.4137846821,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110028-00,1,,52.5514545444,13.4143506987,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110029-00,111,,52.5511651908,13.4137341215,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,28.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,28.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110030-00,84,,52.5511537645,13.4142956164,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,30.07.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,30.07.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
42616-2110031-00,112,,52.5509299992,13.4137265205,01,1.0,SEM*SX7-041409-003*ESSLINGEN* NAV-E250*LUME*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E250*SUPER 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",250,281,48000,n. a. ,31600,n. a. ,01 GANZNACHT,SEM*ESSLINGEN*SX7-041409-001*DA*FAHRWEG*Einf.FUSSWEG,8.15,
,,,,,02,1.0,SEM*SX7-041409-005*ESSLINGEN* NAV-E70*SKL2,Esslingen-Kandelaber,Nein,29.10.1993,NAV-E70 4Y,Osram,Natrium-Dampflampen,>> Einsparung gegenüber einer Glühbirne 95%,"niedrige Farbtemperatur, gelblich rote Färbung",70,70,28000,93,6600,n. a. ,01 GANZNACHT,,,
